Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Group Chat (Positive),,,,2022-10-28 02:56:23,2022-10-28 02:58:05,1m - 42.230s,PASSED
,,,,,,,
Test Cases/2-Group Chat/Group Chat (Positive)/TC1-Type Numbers Only,,,,2022-10-28 02:56:23,2022-10-28 02:57:13,49.703s,PASSED
,,,,,,,
Test Cases/2-Group Chat/Group Chat (Positive)/TC2-Type Alphabets Only,,,,2022-10-28 02:57:13,2022-10-28 02:57:23,9.948s,PASSED
,,,,,,,
Test Cases/2-Group Chat/Group Chat (Positive)/TC3-Type URL,,,,2022-10-28 02:57:23,2022-10-28 02:57:33,10.475s,PASSED
,,,,,,,
Test Cases/2-Group Chat/Group Chat (Positive)/TC4-Mention One Member,,,,2022-10-28 02:57:33,2022-10-28 02:57:48,14.728s,PASSED
,,,,,,,
Test Cases/2-Group Chat/Group Chat (Positive)/TC5-Mention All,,,,2022-10-28 02:57:48,2022-10-28 02:58:04,16.009s,PASSED
